Type,Threads,Cache_Misses
cpu_bound,2,313465
cpu_bound,4,451934
cpu_bound,8,668783
cpu_bound,10,588366
cpu_bound,50,608559
cpu_bound,100,814209
memory_bound,2,807516046
memory_bound,4,846106286
memory_bound,8,859190066
memory_bound,10,833957801
memory_bound,50,840154122
memory_bound,100,821026207
io_bound,2,135142
io_bound,4,138686
io_bound,8,242142
io_bound,10,300352
io_bound,50,1445540
io_bound,100,2779114
mixed_workload,2,307480
mixed_workload,4,392262
mixed_workload,8,423843
mixed_workload,10,466523
mixed_workload,50,1200539
mixed_workload,100,1911575
