Type,Threads,Time
cpu_bound,2,0.19376
cpu_bound,2,0.170967
cpu_bound,2,0.165894
cpu_bound,2,0.177926
cpu_bound,2,0.174952
cpu_bound,4,0.22158
cpu_bound,4,0.249273
cpu_bound,4,0.202831
cpu_bound,4,0.227222
cpu_bound,4,0.294209
cpu_bound,8,0.811722
cpu_bound,8,0.39516
cpu_bound,8,0.313039
cpu_bound,8,0.30735
cpu_bound,8,0.317651
cpu_bound,10,0.321014
cpu_bound,10,0.323546
cpu_bound,10,0.3315
cpu_bound,10,0.320024
cpu_bound,10,0.320857
cpu_bound,50,0.319623
cpu_bound,50,0.325268
cpu_bound,50,0.31796
cpu_bound,50,0.318218
cpu_bound,50,0.326061
cpu_bound,100,0.300305
cpu_bound,100,0.332948
cpu_bound,100,0.327241
cpu_bound,100,0.31927
cpu_bound,100,0.285753
memory_bound,2,7.889237
memory_bound,2,7.864245
memory_bound,2,6.954425
memory_bound,2,7.473966
memory_bound,2,6.904217
memory_bound,4,15.575453
memory_bound,4,14.90476
memory_bound,4,15.184503
memory_bound,4,14.685241
memory_bound,4,14.519817
memory_bound,8,26.375214
memory_bound,8,25.22744
memory_bound,8,25.712238
memory_bound,8,26.430014
memory_bound,8,27.028005
memory_bound,10,27.522029
memory_bound,10,28.254136
memory_bound,10,27.220004
memory_bound,10,26.747871
memory_bound,10,26.489187
memory_bound,50,27.061893
memory_bound,50,25.823679
memory_bound,50,27.96197
memory_bound,50,26.873308
memory_bound,50,25.997325
memory_bound,100,25.629665
memory_bound,100,26.513026
memory_bound,100,26.251474
memory_bound,100,26.054586
memory_bound,100,26.661929
io_bound,2,0.010191
io_bound,2,0.013843
io_bound,2,0.013611
io_bound,2,0.015536
io_bound,2,0.014918
io_bound,4,0.033365
io_bound,4,0.031188
io_bound,4,0.027695
io_bound,4,0.029647
io_bound,4,0.030802
io_bound,8,0.059684
io_bound,8,0.063022
io_bound,8,0.059116
io_bound,8,0.060452
io_bound,8,0.062086
io_bound,10,0.079085
io_bound,10,0.078857
io_bound,10,0.078631
io_bound,10,0.075587
io_bound,10,0.07729
io_bound,50,0.400812
io_bound,50,0.411525
io_bound,50,0.429422
io_bound,50,0.427129
io_bound,50,0.418802
io_bound,100,0.814075
io_bound,100,0.851811
io_bound,100,0.918067
io_bound,100,0.818792
io_bound,100,0.811464
mixed_workload,2,0.033346
mixed_workload,2,0.03875
mixed_workload,2,0.034924
mixed_workload,2,0.034336
mixed_workload,2,0.035101
mixed_workload,4,0.060672
mixed_workload,4,0.057245
mixed_workload,4,0.045146
mixed_workload,4,0.047192
mixed_workload,4,0.045494
mixed_workload,8,0.059706
mixed_workload,8,0.066093
mixed_workload,8,0.057524
mixed_workload,8,0.061534
mixed_workload,8,0.062738
mixed_workload,10,0.071782
mixed_workload,10,0.074266
mixed_workload,10,0.076558
mixed_workload,10,0.072178
mixed_workload,10,0.071858
mixed_workload,50,0.234553
mixed_workload,50,0.241935
mixed_workload,50,0.248707
mixed_workload,50,0.240062
mixed_workload,50,0.24801
mixed_workload,100,0.461714
mixed_workload,100,0.475069
mixed_workload,100,0.451456
mixed_workload,100,0.454051
mixed_workload,100,0.446508
